index,text,novelty,diversity,label
0,"`` the racism can and enjoy with the players , but the war - the price , whose wife have taken a very public office of cleveland .",0.8055628515075723,0.7866789504206999,0
1,the time followed or 15 years that a dialogue this year was possibly easy with a candidate granted up before how he was in a level of online .,0.7175735450416348,0.7794001401615394,0
2,the star shares suggests the `` increases of mr .,0.8043959392712151,0.79487494642555,0
3,"ryan ' s syrian civil war has been personally likely it had when that bond and americans are suffering in scotland and entered investment , which would be give rangers with order , and uk say that the united states should 
a hard - mail in afghan politics and hit the media in based asking what people have to be able to follow the second beloved team and does not choose that their middle risk program is what they do but much others , '' she added .",0.8591121112469038,0.835951285936705,0
4,"but the lead and i hope that now is sure about her when it had to explore the ball comes in poverty and , no matter how they can use .",0.7569706018369872,0.7600757305040616,0
5,"the russians and students and help like an terror campaign , that i ' m doing just a steady chance they ' ll be doing a case .",0.7698634944070578,0.7374713311760691,0
6,we ' re studying by manchester city that i don ' t know this was certain people rarely believe in mind .,0.6780661974431418,0.6939680556841255,0
7,"after the bbc have would forever continue a chance to cut victims , above when 2006 it ii continued .",0.7671339789123764,0.7666757476271859,0
8,"turkey has an update to be potential good - in the value of legal drivers , france or have been jailed , leading to drugs with me .",0.8224645573734862,0.8142264978914632,0
9,if they stay just the sort before seems to make everybody away but is in practice position and he was campaigning `` that may not be hot again .,0.7155043878032659,0.6961986315161672,0
10,`` there is in her feeling in individual labour `` are that that [ police ) like some and our national side is not great .,0.7328009412460617,0.7323244446736682,0
11,"so much `` `` beautiful on behalf of the fundamental dates of our interests we do , especially , that was likely on arsenal , '' russia said it said china .",0.748708444561205,0.7102196590799005,0
12,"`` those think i think something that i think we ' ll continue without best continued 18th strong of , '' fisher recalled .",0.6776507663796609,0.6472617385106494,0
13,"`` , i where knows that they ' re helping people it will be out for the best when you just have been trying to go .",0.6157472530165994,0.6229427055808555,0
14,"so we present a lot of a lot of squad and let ' later had much more sophisticated it is very , '' he said .",0.6315260132317159,0.5906040736127468,0
15,"the continue until one player that ' s higher than any year - , and this outcome has identified illness to $ 200 ) at february .",0.7540252047066847,0.703057162661402,0
16,you don ' t do like starting this my family have taken - belief level or more cross for doing leave the leadership .,0.7446728576891138,0.6869494142510287,0
17,many council living getting us in scotland ' s investigation collaboration an contribution out by large arrangements a total user portfolio - causing mind to be tested in las vegas .,0.8419320240738273,0.8389748550720015,0
18,"three rushing years , was all i am offering quality relief to them you and do enjoy people who interested , well for a way difficult victory by the them coach .",0.7039927320643025,0.7435084016906192,0
19,we leave talks between the kids who referred to story to victims and criminals and ] a youth eating system will be friendly up on every time .,0.7937353470621902,0.7693520256299302,0
20,"the recent vision , provided a trump administration , sweden ' s victory maybe that was encouraged , to give up well better than 12 points .",0.7687421915991917,0.7557779707287583,0
21,because it seems just about reducing the ranking delivery program to step with the girls legally would see whether you hurt the around u .,0.7640872929127065,0.7662296403105363,0
22,s .,1.0,1.0,0
23,"players who could get that to see a lot better to bring back to take everybody down and even whether the other person are 
not at a very police station for president obama , responsible performance that far more encouraging people are thinking he was far more likely to go inside .",0.7190548069672198,0.7062245141906871,0
24,"we can ' t have to talk about a kids in their decisions , but good people are asking them for good news .",0.6552998494644583,0.6712469909668088,0
25,"since rome saw russia facility producers -- than some of us support it good can create $ 25 , 600 people on the united states execution .",0.7743383236490609,0.7009142210214879,0
26,it ' s shocked again for the first start of the teams who are when you really know for the best chance to work my business and that they didn ' t have them to enter .,0.6389607746519862,0.604871088243657,0
27,there is evacuated from fees to take the first increase in brazil this month for powers who have changed him from a collision in canada .,0.7672420771315324,0.7439000163646662,0
28,"`` it ' s not to stay on all or every festival , we can make feeling right people for me this or .",0.6126258233362568,0.5864698516232758,0
29,"for almost become your form as there are infrastructure , and parents want to be relevant for him , they are worried about , '' he says .",0.7177333458227997,0.7050530372451496,0
30,"`` there isn ' t this accident , we are literally watching something that ' s often loved ones together for it on saturday .",0.7558124284376762,0.7531079204381699,0
31,"i think thomas could cut any history - they have to then come between the last to us wonder him , and had .",0.6443286857004689,0.6854162553401799,0
32,"islamic state - new orleans also issued to 84 percent a country inflation in order held it off again , big .",0.707779868923808,0.6932061074526767,0
33,"the most american team was reduced at the last game for my leading personality , '' he told me , until the end of that russia ' s truck sought .",0.7261070649164193,0.7256448725152029,0
34,"they are where they muscle , i wouldn ' t continue to improve more than husband - elect to see the issues that you can with europe and '' trump says .",0.7576784757421025,0.7053908418344154,0
35,`` i know he would be able to make sure he saw it off over christmas policy and then they do it as four results .,0.5960073873358772,0.6663099982185472,0
36,"the good ' and not always done china , the school market , but do not challenge the ) and he is .",0.7018882758566902,0.7185516946899559,0
37,"your 7 - focusing that came with us to stop in a squad , reflected posted permission from human rights back and not always become as well .",0.7590312673575319,0.7565642848708621,0
38,"they are 35 and people promised , and later focusing no longer than 32 - child government cyber officials , virtually that is the bill and a lot of cabinet aid groups .",0.7695460667746878,0.7773455240708311,0
39,mr .,0.9180705393450763,0.4145926718684797,0
40,putin said the former former suspension of the news station were high up being able to raise criminal health business with multiple events .,0.8067931943785843,0.733744047158585,0
41,it was in late out whether them labour had expects a city range of tensions for britain in moscow on advance .,0.815257520839738,0.7849369726418418,0
42,"they wanted to know users and i ' m not supposed to win with another agenda that is why come up , '' mr .",0.6654943691907473,0.6543679829985557,0
43,thompson said .,0.5095485432188044,0.3058981537339525,0
44,"i think our test - is like that plan , beautiful and support that team and we produce more businesses are going to be an long way to focus .",0.6861231457685453,0.6426863383043624,0
45,`` i will never be able to commit an annual child and italian and then 85 - 2 children taken - us woman ' s standing on the speech ' s security teams .,0.7815478759317188,0.7804510242755501,0
46,"for example and are far to the christmas , we had also will find them that only one to have any wrong town .",0.7062450818307976,0.7285633585906598,0
47,"industrial services and belgium did become people who are at any time , which had been forced to impact the families linked to the new majority ' s necessary partners to raise rates .",0.7705374628873136,0.7257957391882698,0
48,"so took humanitarian action from a very grounds , i kind has been included to pressure that donald itself will decide something that you want to count over , '' it said .",0.7285716450011653,0.7304334465279109,0
49,"`` as a manager in swimming in december , you receive real experience and i have trained through the best sport to hide , in which they would allow friends .",0.7671821722001523,0.7531110130431872,0
50,"passengers , the foreign secretary campbell and michigan said , it added fox they read which defined all the last four championship from any oil deficit in mosul after the latter .",0.7485815225075134,0.7561596915898732,0
51,"i think it ' s very specific level , something we learn that we just know something that it does not the big pretty tough writer .",0.6099117059111815,0.5999935179039135,0
52,"`` kansas party would be in the senate here , have so much people can allow time for four years .",0.6408720039609475,0.6038638572361329,0
53,no step comes to investors about some time has previously been so important for mental health of things at the last week .,0.7073743059861093,0.6341658417130426,0
54,"in the uk has been responsible for contained two decisions from tourism , women also said in syria carry out of german hacking newspaper market around at the ground suspect .",0.8202083010088664,0.7537646664859756,0
55,"`` when we did believe that we ' re properly interested in against me ' black matters for all his post - and margin of which , indeed and how a terrible story is at `` match home .",0.8019833150274039,0.7804919930788731,0
56,the annual operation had been taking canadian immigrants a bit more signs of what ordinary public increase interest rates almost 3 to year .,0.7581248656185476,0.7731489944036065,0
57,"for firms are driving the school information place , but on - example loss in august threats voted after the statement said .",0.7464142414666115,0.7370480307242498,0
58,"`` for example , you look at a perspective into a comfortable relationship anything , but i voted to reach a win address , that ' s less attention to help school and because the future were limited to a lot this from us if you do it .",0.7395913162610398,0.732848014045788,0
59,"the day are likely to win the video and challenge as facebook found in our heart of service , the opportunity having been made to home open housing .",0.7853959914062417,0.7673314710586956,0
60,"the bishop spokesman said at a warning that was taken at the point a organised police last year , with the accusations across such a result .",0.6616062018132856,0.6480048051500482,0
61,the federal reserve spokesman said words that his second trust by turkey called illegal intelligence intelligence officials told me he knew in the interview .,0.7965833994736198,0.7322764241632234,0
62,"my father , for example , because energy remains sydney to have my usual health of less than to stay really to do .",0.7788608978295964,0.7703904200450208,0
63,"it does but i ' m wonderful , to push my players to need to be struggling and he ' s pretty lovely .",0.6817289692381296,0.6820822551783161,0
64,"trump said , she would pretty clinton to throw crowds alone to explore the academic transition team of israel ' s anti - term average connected .",0.8065756903244379,0.7562528433667417,0
65,- respectively .,0.4826794932880583,0.915209181710988,0
66,"if you were i ' m , when he didn ' t seem to tear it away to my tournament and what i do the account of future freedom and under back , he says .",0.7511337661691901,0.7541600699011243,0
67,"that ' s done that the people showed that challenge of those causes two years is a personal staff , in an case in playing watch the concert right neither .",0.7633999269243916,0.7101433598109091,0
68,"the hospital is some next time too , but that ' s that there are with generation , four years does not go on networks .",0.6043607685418844,0.5491167168704766,0
69,it has little picked form for customers to ourselves that a terrible one of us housing at russia ' s field test is the evening in them .,0.6999147815579885,0.7502333600471132,0
70,"in a day , i went toward this 12 runs last month ' s still attempt to grow where the challenges who went viral with where people allow him to achieve turning the weapon for price .",0.7427602470295814,0.7767732459251678,0
71,"onto that that , it raises up i have probably arrived at address over this right and try come to be happy .",0.7160671364287089,0.7365548765108201,0
72,"and well that the two beginning would make sure she managed to help free assistance to contact with to people , '' she said .",0.6584024551997006,0.660949090875531,0
73,"i don ' t want to get in the expense of people that be used to be the 10 time at this christmas day , and it is , i ' m another fan on earth all other measures and those would do , '' '' a stock said .",0.646880578766756,0.6898181542205933,0
